Degree Level,Nationality,Gender,Year Quarter,Salary,Currency
Doctorate,Saudi,Female,2020 Q3,19058,SAR
Doctorate,Saudi,Male,2020 Q3,25863,SAR
Doctorate,NonSaudi,Female,2020 Q4,14349,SAR
Doctorate,NonSaudi,Male,2020 Q4,19406,SAR
Doctorate,Saudi,Female,2020 Q4,21597,SAR
Doctorate,Saudi,Male,2020 Q4,31295,SAR
Doctorate,NonSaudi,Female,2021 Q1,10774,SAR
Doctorate,NonSaudi,Male,2021 Q1,26296,SAR
Doctorate,Saudi,Female,2021 Q1,25676,SAR
Doctorate,Saudi,Male,2021 Q1,35622,SAR
Doctorate,NonSaudi,Female,2021 Q2,16727,SAR
Doctorate,NonSaudi,Male,2021 Q2,23036,SAR
Doctorate,Saudi,Female,2021 Q2,24632,SAR
Doctorate,Saudi,Male,2021 Q2,28380,SAR
Master Degree,NonSaudi,Female,2017 Q1,10450,SAR
Master Degree,NonSaudi,Male,2017 Q1,13799,SAR
Master Degree,Saudi,Female,2017 Q1,11909,SAR
Master Degree,Saudi,Male,2017 Q1,17007,SAR
Master Degree,NonSaudi,Female,2017 Q2,12668,SAR
Master Degree,NonSaudi,Male,2017 Q2,14841,SAR
Master Degree,Saudi,Female,2017 Q2,11583,SAR
Master Degree,Saudi,Male,2017 Q2,17763,SAR
Master Degree,NonSaudi,Female,2017 Q3,11022,SAR
Master Degree,NonSaudi,Male,2017 Q3,14604,SAR
Master Degree,Saudi,Female,2017 Q3,11836,SAR
Master Degree,Saudi,Male,2017 Q3,17443,SAR
Master Degree,NonSaudi,Female,2017 Q4,8779,SAR
Master Degree,NonSaudi,Male,2017 Q4,12233,SAR
Master Degree,Saudi,Female,2017 Q4,10729,SAR
Master Degree,Saudi,Male,2017 Q4,16471,SAR
Master Degree,NonSaudi,Female,2018 Q1,9389,SAR
Master Degree,NonSaudi,Male,2018 Q1,14068,SAR
Master Degree,Saudi,Female,2018 Q1,12119,SAR
Master Degree,Saudi,Male,2018 Q1,18421,SAR
Master Degree,NonSaudi,Female,2018 Q2,12440,SAR
Master Degree,NonSaudi,Male,2018 Q2,13558,SAR
Master Degree,Saudi,Female,2018 Q2,11804,SAR
Master Degree,Saudi,Male,2018 Q2,18720,SAR
Master Degree,NonSaudi,Female,2018 Q3,12433,SAR
Master Degree,NonSaudi,Male,2018 Q3,11325,SAR
Master Degree,Saudi,Female,2018 Q3,11628,SAR
Master Degree,Saudi,Male,2018 Q3,17091,SAR
Master Degree,NonSaudi,Female,2018 Q4,8630,SAR
Master Degree,NonSaudi,Male,2018 Q4,12845,SAR
Master Degree,Saudi,Female,2018 Q4,13017,SAR
Master Degree,Saudi,Male,2018 Q4,16721,SAR
Master Degree,NonSaudi,Female,2019 Q1,9751,SAR
Master Degree,NonSaudi,Male,2019 Q1,13373,SAR
Master Degree,Saudi,Female,2019 Q1,12378,SAR
